"FmcO7b","vWB2ve","T7nuU 2","gjvCCd"
"Fork","5 months ago","Easily one of the best games Atlus has ever put out! It's definitely my personal favorite. Everything about it just hits the right spot, the amazing music which I would put up there with the masterful work that is Nier: Automata's OST. The gameplay, while mostly the same is refined and some of the best combat they've done. It's still turn-based for the majority, but there are some real-time elements to it where you're able to straight up take enemies out in the field that are weaker than you taking them out without much of a fight, but they can still attack and deal some minor damage to you but you can dodge to avoid this, or attack and stun enemies for 1 turn cycle before going into Squad battle (turn-based combat), but if you get hit by enemies around your level or higher you get ambushed and the enemy attacks first, I just let this happen sometimes because the ambush song is so dang good!

The story and world are both so interesting and engaging, the story has had me by the balls the entire time and I've never been so addicted to a game such as this. I can't praise this game enough! Black Myth: Wukong was originally my GOTY, but now this is. If you like Atlus games, go play this NOW! If you haven't played any games from Atlus before but like JRPG's with an in depth time management and deadline system where every character feels real and relatable in some way, not to mention a very interesting advanced style fantasy world, give this a try.","50 people found this helpful."
"BeLikeBisharp","3 months ago","I'm quite fond of JRPGs as a whole but mostly Persona Games ; and honestly, Metaphor: RF might be the best one I've ever played.
Saying it's perfect wouldn't be true. However, it improves on a LOT of recurent issues with the JRPG genre.

The story is honestly pretty good! Far from flawless but it still does its job. The bond are especially interesting (won't spoil anything but I highly enjoyed 12/14 bonds which is a huge amount). This might be the 3rd JRPG in which I got highly invested in the plot (the other two being P5R and DQXI).
However, I think the biggest strength of this game is BY FAR its gameplay. The ARPG aspect is fine, I really love how it was implemented and used in some Dungeons (won't spoil much but for example, there are some enemies hidden beind pillars waiting for an ambush and I think that's brilliant) but the risk/reward is a bit over the top (sometimes the difference between stunning an ennemy and getting hit can determine wether you get a flawless victory or straight up lose, which is made especially annoying by the ennemies sometimes having armor on their hits...). That being said, the turn per turn gameplay is VERY good and much better than any other Atlus Game. I never really liked the concept of All Out Attack in Persona, just getting big raw damage for hitting weakness felt blank and uninteresting. In Metaphor: RF though, hitting weakness simply allows you to get more actions during your turn, allowing for more elaborated strategies which I'm a huge fan of. This is one of the only JRPGs ever in which I never avoided battles unless necessary, it's just that addicting.

Now for what is in my opinion the most well made gameplay aspect:  The Archetype System. It improves so much on so many aspects it's hard to choose were to start honestly.
- First of, there are 14 archetypes in the game. This in my opinion is the key to understand why they work so well. With fewer options to work on, the Game Designer really had the time to make each Archetype very unique, distinct and interesting from the others. They are also all super cool looking which is a HUGE constrast to Persona Games which force you to play ugly Personas for most of the game.
- As mentionned right above, (almost) every Archetype is unique (Dragoon is a mistake and we don't talk about it, mostly for spoiler reasons), which allows for a LOT of interesting team compositions, especially considering the fact that every character can learn (almost) any Archetype.
- They make bond rewards especially worth it. In Persona Games, only the Main Characters will get their evolved Personas at Max Bond. In Metaphor Re:Fantazio however, EVERY bond is tied to an Archetype and thus increasing said bond allows you to both unlock then evolve said Archetypes (i.e. unlocking their stronger forms) and get rewards that might help your progression (won't push on this to avoid spoilers but most bonds are VERY worth your time).

To conclude, the fact that this game is THIS good even though it was unfortunatly rushed and is thus unfinished (there are 2 playable characters and 7 unused bonds in the game files) is mindblowing to me. I really hope this game will get DLC to adress this issue. That being said, this is EASILY my GOTY. Thanks for reading.","14 people found this helpful."
"نو نيم","5 months ago","In  a generation full of remakes, remasters and sequels of a 20+ year old franchise Metaphor stands out as new IP and what happens when you give top tier developers the creative freedom and budget that they deserve.

I still have not finished the game but im very far and i can safely say this might be the best Jrpg i have ever played and i say this as someone who grew up with the genre, Katsura hoshino and his team are some of the best Jrpg developers out there and they have made SMT nocturne, Persona 3-5 and catherine and you can see from this game is the culmination of all their work.

+While this game does indeed use the persona formula this game perfects it 100% some people might be turned off by this because people want to see a new formula but honestly? i prefer it if they use something they are experienced with rather than have them create something new and result in an uneven formula, it also establishes its own identity that separates it from persona. 

+Social sim when it comes to spending time with main/side characters in the persona games the quality felt uneven and inconsistent with mediocre rewards, this game takes it to the next level not only are they way better when it comes to writing, they are great because they unlock important rewards. 

+Combat is incredibly balanced with some of the best usage of the job system i have ever seen, many of the boss fights feel like puzzles and the difficulty is fair and there is so much potential and possibilities when it comes to party and class mash ups, the action combat also makes the combat much better allowing you to take care of trash enemies and have a high risk/reward enemy encounters.

+Side quests/hunts are excellent, sometimes they send you to dungeons that are usually fun to explore and give you a chance to level up your classes without feeling getting bored from grinding and these quests usually have great rewards. 

+Art direction is phenomenal, from enemies, environments, UI and animation are top tier.

+A sense of adventure that was very missing in the persona games, in the persona games u are still stuck in the same city, while in this game you travel around the world and learn about its world and the worldbuilding in this game is deep and will reward you for exploring it. 

+ Incredible Story with the best characters atlus has written, its very hard to talk about the story without spoiling it but the story focuses on 3 main things, what it takes to face your fears and make a meaningful change in the world/Racism and how its tackled especially with the characters coming from different tribes/Can fantasy have an impact on the real world and the game delivers on these themes beautifully.

+Pacing in this game is the best atlus has ever made, while the story does indeed ramp up as it goes it remains consistent without it feeling bloated, this is an area that 90% of jrpgs struggle with including the persona games and its really crazy for this game to have such an amazing pacing for an 80 hour+ game.

-Probably the biggest gripe i have with the game is the fact that so much of the dialogues are not voiced, which is a shame because the voice acting is amazing. 

-Engine is a tad bit outdated with many loading screens especially when exploring towns.

Overall Metaphor takes atlus to new heights and not only lives up to the insane expectations set by Persona 5 but even surpasses it, making it one of the best games i ever played.","70 people found this helpful."
"Gilles Sooben","5 months ago","Is this a special or outstanding game like critics and the fandom rave about? Absolutely not. Not in any shape or form. 
Baldur's Gate 3 and Persona 5 were special, but this isn't. I spent 98 hours to see the end of this exhausting game. It's one of those stories that tries too hard to be smart and ends up being a convoluted mess and drags on forever. 
There are about 20 games between the Persona and SMT series alone, there's nothing that can justify Metaphor RF as original or groundbreaking. Sure, it improves on the formula, at least in certain aspects, but most of the flaws that you will find in other Atlus games are still present. More importantly, there is little to no innovation here. The Main character is as generic as they come, with the worst haircut I've ever seen in a jrpg. The main villain is a cheap knockoff of Berserk's Griffith, the secondary villains aren't any better, most companions have the exact same personality as their counterparts from other Atlus games, the graphics are dated, the story is full of tired clichés and dramatic contrivance, twist and turns that aim to surprise the audience but make no sense whatsoever. It's so bad it's funny at times. 
The difficulty spikes are completely out of balance, you get hardlocked into battles that are incredibly long and tedious, getting your ass whooped even with the highest level of equipment and archetypes. You can't even return to the Main Menu or Load a save once you enter combat. You are too often given options only to have that annoying Gallica say you can't do this, you can't say that, and are forced into one choice. Why bother having options to choose from then? Experimenting with various archetypes outside of dungeons can have catastrophic consequences as story related quests will often throw you into major boss fights without giving you a chance to adjust your party's archetypes, something that is cruelly lacking from the Party Menu. What got on my nerves as well is that YOU play the main character but it's always someone else who is centre stage and gets to do the big speeches. The hero is a voiced character, but he hardly ever says his lines out loud. All you do is nod most of the time and make the odd decision that has no consequences whatsoever because everything is scripted anyway. And there's soooo many lines of dialogue, nobody shuts up in this game. It's always yap yap yap. And if the writing was good it wouldn't be so bad but most of it is just repetitive platitudes and exposition dumps. The dungeons are tedious, with very little originality in the level design. The game insists you grind for hours, which is boring and exhausting. 
Not to mention the blatant plot holes that make most parts of the story completely pointless. 
Is it Game of the Year material? Hell no. But the mainstream game critics need something else to justify their snobbery of Black Myth Wukong and decided to worship this one instead. None of the main video game reviewers have addressed the issues of this game. Which can make them only 2 things: incompetent or dishonest.","62 people found this helpful."
"Blaze 81G","2 months ago","Metaphor: ReFantazio delivers a truly immersive experience, blending an engaging story with a rich fantasy setting that keeps you hooked from start to finish. The world-building is phenomenal, filled with breathtaking landscapes, diverse cultures, and a sense of wonder that draws you into its every corner. The narrative strikes a perfect balance between epic and personal, weaving grand stakes with heartfelt character moments. Each character feels distinct and memorable, with motivations and arcs that add depth to the story and make their journey genuinely compelling.

One of the standout aspects of the game is its open-world and dungeon exploration. The environments are beautifully designed, offering plenty of opportunities for discovery and adventure. The exploration is both fun and rewarding, with hidden treasures, secret passages, and optional challenges that make every detour worthwhile. The dungeons are cleverly crafted, combining challenging puzzles with exciting combat encounters that keep you on your toes.

Overall, Metaphor: ReFantazio is a must-play for fantasy and RPG fans. Its captivating story, unforgettable characters, and dynamic exploration mechanics create an experience that lingers long after the credits roll. Whether you're unraveling the main plot or simply wandering through its vast, magical world, the game is an adventure worth savoring.","2 people found this helpful."
"Martin Story-Kapusta","2 months ago","Just finished it, clocking at around 120ish hours on Hard mode.

Unbelievable game, true to Atlus-Persona style, but with a great medieval fantasy mix! Haven’t had such a journey in a video game in a long while! This really is an exemplary game, a testament to how classic JRPGs can be amazingly beautiful, fun, and moving. 

Above all, the message it sends about the power and creativity of fantasy/dreams (and to confront our own anxieties rather than running from them) in order to create change in a world that is rife with difficulty - is refreshing to see during a time when so many games are pumped out for the sake of it.

Bravo!!

10/10 for me!","3 people found this helpful."
"Practically Platinum gaming","4 months ago","This game is absolutely phenomenal. I'm a long time final fantasy, Smt and persona player and genuinely a massive fan of turn based rpgs in general. The story, characters, battle system and even the music are amazing. This might possibly be the best game atlus has ever produced, it's thought provoking, funny and sad at times all handled with care and respect. The themes of oppression, anxiety and hope really resonated with me and had me thinking alot through the 90 hours it took me to finish the story on hard mode. Game takes a little while to get started but is totally worth it on the end.","2 people found this helpful."
"Paradox","2 months ago","The pacing at the beginning felt a bit slow and didn't captivate my interest so suddenly but oh boy do I feel wrong now. After putting in 25 hours so far the story has really drawn me in with some plot twists along the way that were like ''Damn Son what is even happening?"" There is a really fun gameplay loop once it gets started which for anyone who enjoys Persona and SMT games would fall right in to. It's a game where if you keep putting your time in to it the more rewarding it gets. Recommend playing on Hard to get a thrilling action experience!","1 person found this helpful."
"Armando Alvarado","5 months ago","Waited so long for a Persona 5 successor. P5: Royal was an amazing addition to an already master piece, but it was still more of the same experience. Metaphor: Fantazio re-imagines and evolves the SMT and Persona formula. With an amazing story that is inspired by past fantasy stories like Berserk, Final Fatasy, Tales Series and Lord of the rings, the world of Fantasio is so rich and captivating. The combat is refreshingly fun. all the characters are well written and just as lovable as past Atlus Games. If you are searching for the next fantasy epic to quench your JRPG crave, Metaphor Fantazio is a must play.","17 people found this helpful."
"Gumby K","4 months ago","I am not a huge fan of persona, I can appreciate it but the plot never drew me in. I love how this game has the mechanics that I liked in persona and gives me that Final Fantasy 9 type fantasy itch I crave. Not over the top silly, not too serious. 

Outside of that, the game is done really well. The art work is amazing, voicing spot on, I enjoy the story and all this is coming from someone who is VERY picky - not that big of a JRPG fan. 

You can tell the team that made this knew what they were doing and completed an original masterpiece in the style they have already refined over the years.","4 people found this helpful."
