"FmcO7b","vWB2ve","T7nuU 2","gjvCCd"
"Ruben Galindo","a year ago","I honestly came into this title without high expectations, I’ve played all the assasins creed side scrollers and was underwhelmed by each entry, But this..This game is something completely different.
You can tell right off the bat when you start that love and care for the property was put into this and it’s not just a simple cash grab based on name sake alone, The combat is fast and fluid with the prince acrobatic moves very much in effect just in a 2D playing field. You don’t start super weak and slow and have to work your way up, You start decent with some knowledge and experience under your belt, And through this HUGE open metroidvania world you discover many Secrets, Trinkets, Add ons (power ups), and so forth. The story is a simple one, I won’t do any spoilers but it’s simple. It’s a bit more eloquent then save the princess but not by much more, The meat of the game here lies in the gameplay department. 
The graphics are nothing crazy, Early ps4 era visuals on the characters themselves along with terrible lip synching, But the beautiful and lush environments that you traverse along the way, The playing field is really REALLY big. It’s not overly complicated unless you want to find all the secrets and so forth, And all the challenge that prince of Persia brings with platforming, jumps, pole swinging..it’s ALL still here and it works so much better than you think in 2D. Honestly this game is a love letter to fans and deserves nothing by the highest praise especially coming from a publisher which rarely takes risks and usually plays it on the safe side with their titles. If you’re on the fence about it, TRUST me this is 100% worth the asking price of $50. Deluxe edition are cosmetics and 1 power up that is cool but nothing to write home about, The standard version is just fine. If it weren’t for the dated graphics and weird voice/facial animations this would be a 10, As a critic I have to knock it down a point in that department..But apart from cosmetically flawed EVERYTHING else is brimming with life and deserves nothing but the highest praise, Bravo team, Bravo. 9 out of 10 - Magnificent-","129 people found this helpful."
"Erfan Abolghasemi","a year ago","As a Persian who knows the mythology of my homeland, Prince of Persia The Lost Crown is simply Incredible. This is probably the closest work to the actual Persian mythology in all of entertainment. Some of the characters' names are the names of my family members, Mount Qaf, the game's main location, was one of the night stories of my childhood (pretty much every Persian knows what Mount Qaf is), all the symbols, reliefs, ancient texts etc. are worked so accurately with Persepolis, Behistun and Persian cuneiform that it feels like a Iranian dev has made this game. I'm saying all of this just to confirm one thing: Ubisoft has absolutely NAILED the Persian mythology here. They nailed it so perfectly to a point where I feel like maybe the development team have actually traveled to Iran for research and no one knows about it lol. Even the names of all the objects you find or purchase are all fully based on mythological and sometimes even historical characters and locations. - Another thing that Ubisoft has done very authentically is the music. The trailers didn't really do justice to the actual music, but its a completely different story with the game itself. Iranian instruments are so regularly been used in the pieces that I recognize them immediately every time they are played. Its so beautiful and so Persian-based that it made me to stop moving forward and just listen to the music a couple of times. Santur, Tar, Setar and Tombak are some of the instruments used in the music, all Persian, and all perfectly used (Shout out to Gareth Coker & Mentrix!). - And... the Persian language support. This is a BIG deal for a lot of people, and it would have been a huge disappointment if it wasn't good, well, I'm happy to tell y'all that the Persian voice acting has been done absolutely flawlessly. Their expressions are amazing and their voices fit the characters very well. Here's a exclusive for ya'll: The dubbing has been done by MJKB Studio (Moje Ketab), and I know some of them actually, they've worked on dubbing countless movies, TV shows and animations in the country, which indicates that Ubisoft has went directly to the original source for the Persian language. The dubbing manager said in a interview recently that more companies are working with them to have Persian language in their games aswell, so more is coming. This is a first time happening for Persian language, and trust me, its a big deal.

Thank you for reading!

سپاس از شما!","187 people found this helpful."
"Grace Knight","7 months ago","Fun, but has major issues that ruin it.

The game has a good story and nice boss fights, but there are multiple aspects of this game that just totally ruin it for me. Warning I yap a lot!

SAVING: It might seem insignificant, but be wary if you don’t have several hours to spend playing the game at a time. You can only manually save at the Wak-Wak trees, and autosave only happens after ‘major’ events. I’ve had to lose progress multiple times because i’m unable to get back to a Wak-Wak tree. The Wak-Waks are also spaced weird to where sometimes if you die you have to walk through over half the area again just to get back to where you were.

PAR CORE: I enjoy par core in games… to an extent. I’m not talking about the leaf puzzles in the forrest or the bell puzzles, but rather the hall-dashing ones. Why in the world would you cover entire pathway tunnels in reset material, I have no idea. It makes getting through one small section incredibly annoying and difficult. This is ESPECIALLY excessive in The Pit of Eternal Sands. It wouldn’t be so bad if it were only a jump or two, but to have such a long stretch of it is exhausting. Not only that, but when you die it takes you to the last solid ground you were on, meaning your respawn point could be AGES away, and you have to do it all over. It just adds unnecessary difficulty.

ENVIRONMENTAL HAZARDS: These are also fine and a fun challenge to dodge to an extent. My issue comes when they’re placed excessively. An example is in the ocean area where many of the platforms need to have timed jumps before you get zapped ON TOP of enemies already being present. The par core is hard enough without being damaged every 2 seconds (not to mention the damage often cancels a jump, ruining it). It’s better to pick ONE challenge for players to focus on—maybe two—but any more and it becomes infuriating. That jumping puzzle to get out of the Azhdaha area for instance. Why put par core, constantly falling platforms, AND projectiles all at once? The amulet can help a little, but not enough for it to stop being a major issue.

ANIMATION/RESPONSE TIME: Since the more advanced fights are well done, this is less of a problem but still a gripe for normal enemies. When fighting, you have to wait for Sargon’s animation to finish before doing anything else. While this isn’t a new concept, his animations can take unnecessarily long depending on your combo. This leads to difficulty dodging and can be the difference between victory and defeat. 

Overall i’m disappointed because this game has a great story, and with it a lot of potential. Unfortunately the items listed above really ruin the game for me and make it unenjoyable to play. There’s a lot I didn’t cover (ie. how ridiculous getting Xerxes coins are, long status effects, enemy bombing, etc)  but I listed the main issues I have. They’re so bad that I wonder how much player testing they actually did before releasing. I’m not sure whether i’m going to continue the game or not, but if any of the above would pose a serious issue for you then i’m glad I could help!","22 people found this helpful."
"Zayd Zeitawi","2 months ago","The Lost Crown is an incredible experience that truly stands out. The fluid combat system and the ability to mix up combos with various skills made every battle feel dynamic and exciting. The massive map and exploration kept me hooked for hours, with parkour mechanics adding a fun and satisfying layer to traversal.

The boss fights, in particular, stood out extremely well. Each one felt unique and challenging, adding an extra layer of excitement and tension to the game. The challenges and puzzles were enjoyable and well-designed, offering a good mix of difficulty and creativity. Some areas, though, felt slightly empty due to a lack of enemies, but it wasn’t a dealbreaker.

What really blew me away was the art style—many rooms and environments were so beautifully crafted that I had to stop and take it all in. Overall, this is a game that delivers on so many levels. A solid 9/10 for me! Highly recommended game! 👏🏼","Was this review helpful to you?"
"Michał Backwater","a year ago","It's a good AA game. Nothing really great, outstanding. On normal difficulty fights are rather not too hard, in my first 5 hours I've died 10-15 times and most of those on bosses but I'm not very experienced in side scrolling games or in platformers or brawlers - only Hollow Knight finished a few years ago. 

Map isn't very dense, in Hollow Knight player was small and paths could be very narrow. Here everything is big, we can jump really high so every next platform is far away, there're many parts of the map that are simply empty space, every location with this respawn tree is empty or almost empty (no monsters, maybe some platforms and in one place lots of NPCs). There's also not many monsters types and numbers, I've seen already most things in 4 of 10 locations in the game and I don't think I've defeated over 100 opponents. But yeah, it's so easy to avoid opponents or just jump around them that it's player choice to fight.

Art is nice, story and cutscenes are actually worth watching/following because not everything is told in a straight-forward way, game is working well on KB + M - just shift makes problems if I hit it too often but I didn't even care about changing keybindings, I don't really expect any problems in this game or frustration.

Platforming is harder for newbies but after a few hours I have almost no problems with more difficult obstacles and there's a lot of useful skills to speed up exploration. I remember Hollow Knight as more difficult but I'm not sure. And actually each failure doesn't cost us much - maybe half of one healthbar, maybe less and even in first half of the game I have like 4 healthbars, 2 potions which heal me fully and a skill (which is available after hitting and blocking opponents) that also heals me fully. This game isn't brutal.

Overally I recommend this game to any player who just wants a medium level challenge, maybe even to total beginners in such games (everything is nicely introduced) and even to kids - I don't know what age restriction has this game but it looks perfect for not experienced teenagers. It's not a diamond for me but I waited for this game and it's not disappointing either. Worth the price but I wouldn't compare it to HK.","15 people found this helpful."
"Oliver M","8 months ago","Few games have given me the wonder and excitement like The Lost Crown. Each biome is full of enchantment, beautiful landscapes, unique enemies, treasures, platforming challenges, puzzling and sometimes a highly memorable boss fight. 

I was the first generation of platforming videogames and to this day the nostalgia and simplicity is like a magnet for me. TLC oddly hasn't had a huge splash on the market (yet) but has been well recepted and received the praise it's worth. Like Ori, Hollow Knight and Guacamelee before it, TLC is crowned best metroidvania of 24', best UBI game in the last decade, GOTY contender for me and others alike and refreshes a long forgotten series in a near perfect release. 

I hope this game goes viral in the community as the word continues to spread, for my own selfishness of wanting more and the altruistic motive of others to find the awe inspiring moments I have with this masterpiece. The Rayman team knew platformers before and have evolved to being one of the best in the industry and genre. Well done!","1 person found this helpful."
"Sean Hassan","a year ago","This games incredible because it mixes the old school with the new school and you have so many abilities it makes the gameplay loads of fun . A lot of hours you could pour into the game over the course of time itself.  Story wise was interesting combat wise it was fun as hell . It still is what do I mean was.  It always will be.  Puzzles , platforming,  combat  all mixed into one game. Platforming for the first half of the game will seem like a minor task in those hard to reach areas.  He gets more abilities as the story progresses . So you eventually have all these cool and fun abilities to use which make the gameplay so much fun.  Ranged weapons about 4 of them 
Melee close range weapons just 2 main ones . It's so good it Is one of those games where it manages to embrace you so close that I not once needed YouTube for assistance.  Like a lot of games tend to do . This game makes the challenge just enough for u to figure it out and not frustrate u to the point of wanting to end the game then and there.  Few challenging spots like few boss fights and few platforming spots . That's where the games main challenges come from those harder boss fights , some puzzles that youll be stuck on for little till u will figure it out.  The puzzles are just enough puzzles for me.  If it kept going on with those puzzles I would have had a different outlook of the game . It some how blends all areas of game play combat,  puzzles,  platforming all into one and make it pretty much a perfect game. This game so far has my vote for game of the year for 2024 . Sure it's way to early to call it yet it's got the vibes about it where it's gonna be hard to compete with granted it's so fun graphically is impressive. For a 2.5 D game yet I really thought prior to its release when I seen it last year figured it was gona be a hit or miss kinda game . Little to my surprise this game has become one of my fav games so far in recent years.  Dlc for this game would be awesome to. It's such an incredible game that anyone on modern or last gen could experience it.  Prince of Persia lost crown has some great fun addicting gameplay very pretty  looking graphics ( I gamed on series x with 4k tv ) yet still would look pretty just not as clear on 1080 . 1440 or whatever resolutions ur max say if ur on PC.  This game took me by surprise . I was not expecting prince of Persia to be this good.  Prior to this I think it was Sands of time that was the best one . Now sands of time has to take a 2nd place spot.","7 people found this helpful."
"Ric Sw","a year ago","A true gem that shows that you don't need realistic high-def graphics to be a great game. The gameplay is extremely fun,intuitive,and easy to learn.
The game plays like it's early predecessor and current games like Metroid Dread though at least with this one you don't have a killer machine chasing you all through the levels.
The gameplay mechanics are again easy to learn and remember without the need to learn a hundred different combos or techniques you usually have to with most current games nowadays. Traversal is also easy for the most part but you do need to explore as well as it isn't quite a point A to point B system.
Ubisoft finally has given us a title game that wasn't based of yet another Assassin Creed or some FarCry game but one that they left dormant for a few years and thankfully have reawakened. Now Ubisoft give us a new Rayman game and you'll make even more gamers happy to still be loyal customers for your IP title games.","7 people found this helpful."
"William Cryer","a year ago","I was skeptical at first but after playing the demo I was hooked. Now I have the game and it’s amazing. The story line is cool. The combat is amazing and so is the movement. The map is MASSIVE but not a complete pain to traverse partly due to fast travel points and also the fluid movement. The puzzles are fun and not to hard but im sure that won’t be the case for everyone. My only complaint is some of the puzzlers can be hard to navigate with the way the skills are button mapped but you can always make a preset on the switch to deal with that. it’s only 49.99 on switch which is cool compared to other similar games. I definitely suggest PPLC to anyone that is into or wants to get into metroidvania style games. Also if you’re worried about difficulty it has a gameplay customization that allows you to tweak it how you’d like. Not just easy medium hard. Good job Ubisoft.","8 people found this helpful."
"Hamid Amini","2 months ago","I went into The Lost Crown with tempered expectations, but I was thoroughly impressed. This platformer expertly captures the spirit of classic Prince of Persia titles. From the intricate puzzles and treacherous traps to the challenging pathfinding, the core gameplay is undeniably strong. Enemy encounters are well-balanced, offering a satisfying challenge without feeling insurmountable.
The addition of perks and combo systems adds a layer of depth and encourages experimentation. The level design is meticulously crafted, demanding careful observation and attention to detail. Visually, The Lost Crown boasts a striking art style, but it's the soundtrack that truly shines, it's a masterpiece.
While the gameplay is excellent, the story and characters also contribute significantly to the overall experience. The narrative, though not groundbreaking, is engaging and well-paced. The protagonist, Sargon, is a compelling character, and his journey of self-discovery resonates with the player.
Overall, The Lost Crown is a fantastic game that offers a satisfying and nostalgic experience. It's a testament to the enduring appeal of the Prince of Persia series.","Was this review helpful to you?"
"Roxx","6 months ago","I was hesitant to get this game because I thought we'd get a full blown prince of persia high end graphics game. But, this is not bad. A lot of people were complaining about the prince looking different, but the character that you play as is not even the prince. It's a different character. The game has different puzzles/platforms that truly bring the prince of persia feel into it. Sargon is voiced by the same actor who voices Orpheus from BG3 so that's awesome. You can use different abilities and move sets. The story so far is pretty interesting. There is a metroidvania component where you have to backtrack to previous areas, but you can have a guided map and add markers or choose to explore with minimal help. Also, I appreciate all the accessibility options that the developers added which should allow hardcore gamers and casual gamers alike to enjoy it. I got this on sale, and I am so glad I did. I am really enjoying it!!","Was this review helpful to you?"
"Amir Hanaei","9 months ago","I am around 30 now and the last Prince of Persia game I had played was The Sands of Time. Having heard about the new Prince of Persia game, I thought I'd give it a shot but I didn't have my hopes up too high at first since it was a platformer. The first thing that enthused me was the Persian language support. I was thrilled to play a game and hear the dialogues in Persian. It felt so unique to me. The voice acting was shockingly flawless. The voices truly matched the characters.
Another point that truly felt special was the Persian mythology. As a Persian, I had heard about Mount Qaf, Persepolis, Simurq, etc. Seeing all that in an awesome story with eye catching environment graphics was on another level. This game had me play it for hours and never skip a single cut scene (so unusual for someone who usually does only to delve right into action)

It deserves a 10/10
Kudos, Ubisoft","3 people found this helpful."
"Ata Rouhi","a year ago","Prince of Persia: The Lost Crown is a true masterpiece that successfully breathes new life into a beloved gaming franchise. The captivating gameplay, stunning visuals, and intricate combat mechanics make it a must-play for both nostalgic fans and newcomers alike. The metroidvania-style exploration is a testament to Ubisoft's commitment to delivering a rich and immersive gaming experience. The game's reimagined world, filled with challenges and enemies, provides an engaging and rewarding adventure. Despite some initial simplicity in the platforming, it evolves into a deeply satisfying journey. A triumph in game design, Prince of Persia: The Lost Crown deserves a solid 10 out of 10 for its outstanding revival and execution.","10 people found this helpful."
"Ethan Miguel “E.M.” Serkey","a year ago","As a mostly-Nintendo gamer, I've been pretty cool on the PoP series which has left Nintendo out in the cold for a while. But based on the hype and previews, I picked this game up day one and I was not disappointed. Metroidvania turns out to be a perfect fit for this classic series IP, and the epic story does the genre justice. Not only that, but I was able to play a Persian story in Persian( with English subtitles)! The rich mythology of Persia suffuses the storyline and there's a ton more to dive into in collectibles. This game is a hands down must-play for all fans of platform action.","7 people found this helpful."
"Thomas Moore","3 months ago","This game is a gem and for me is the best Metroidvania ever. Having just recently replayed castlevania SOTN, for me castlevania OOE was vastly superior and this is even better than both!

 I feel like PoP LC is a victim of the time and Ubisoft unfortunately. Many people thought this game would be ""woke"" because the protagonist isn't the prince but a guy who's a darker skinned Persian. But there is literally nothing ""woke"" about the game nor the story. 

I think people also had some reservations about the graphics but most videos you see are from the early levels.  Once you reach other areas this quickly becomes a BEAUTIFUL and atmospheric game with varying biomes that make you feel like you're really in different places. 

The combat is nice and fluid plus there is just the right amount as you explore the various areas which never get old when you revisit with new gained powers. By the end of the game Sargon is pretty powerful but it's something you have built up to if you take the time to find everything so it doesn't feel cheap. 

This game is a masterpiece to me and I'm sad that there won't be a part 2..... don't miss out on this because PoP LC returns to its roots and is an amazing game!","2 people found this helpful."
"J May","a year ago","I had low expectations but I absolutely loved the game! 

Great story and platforming. A fantastic metroidvania that is much more easy to pickup and play than a game like hollow knight (which I really enjoyed). 

The way they designed the map, and made backtracking fun and accessible to anyone was like few games I've previously played. 

Every area was unique, the puzzles were challenging and very fun, and if you turn up the difficulty, this game has a difficulty curve that could challenge the hardest 2d platformers/metroidvanias. 

Highly recommend it to any metroidvania or 2d platform errors fan.","3 people found this helpful."
"Itai Ganot","a year ago","Ubisoft's Prince of Persia is a shining example of harmonious game design where every element, including the abilities, is thoughtfully crafted. The game's abilities are not just impressive in their functionality; they are seamlessly integrated into the gameplay, enhancing the overall experience without overwhelming it. This thoughtful integration of abilities shows a deep understanding of balance and player engagement. Adding to this, the level of challenge in the game is admirably high, pushing players to skillfully utilize these abilities in increasingly complex scenarios. It's these aspects of careful planning and execution that make Prince of Persia not just a game, but an experience that resonates with players on multiple levels, challenging both their minds and reflexes.","3 people found this helpful."
"Alex Streu","3 months ago","An excellent game. It's old school God f War meets metroidvania. The combat is solid: challenging, entertaining, skillful. But there are also puzzles, secrets, platforming challenges, and upgrades along the way,  with a simple yet fun story to boot. I never got to play the other PoPs as a kid, but I must say, I've had a blast with this one. If I had any complaints it would be in the menu system, which is hardly saying anything. But the gameplay is rock solid and very fun for the kind of gamer looking for this kind of experience.","Was this review helpful to you?"
"Wayne Huttel","a year ago","I don't often write reviews but I feel I have to because I want Ubisoft to keep heading in this direction. This game is very good. It's challenging and a great metroidvanian. Some of the platforming is just as difficult as Hollow Knight but it is satisfying. The map was very well thought out and the progression unlocks are awesome and unique. When I started playing I was expecting my hand to be held but it wasn't like that at all. Pretty much all the boss fights I found myself wishing for them not to end because learning and conquering their move-set was so fun. Just wanted to say well done to them and that this game is well worth it. Solid 30 hours of fun gameplay.","6 people found this helpful."
"Nick Costello","a year ago","I’ve been a huge PoP fan since the very first way back in 1989 and it’s had its ups a downs in my opinion. Fortunately this game is phenomenal, graphics are gorgeous,  gameplay is exciting and entertaining and the story is interesting. Plus the upgrade system is rewarding but not overly quickly and the challenge level is just right(although can be adjusted) .  Yes it’s a side scroller but that’s how it entered this world so it fits perfectly! Great game I honestly wish more were given this kind of love a care!!","7 people found this helpful."
