"FmcO7b","vWB2ve","T7nuU 2","gjvCCd"
"anwar mirza","8 months ago","Interestingly, I find Senua II even better than its predecessor. The graphics are absolutely stunning, often feeling more real than life itself. The visual experience is so captivating that you'll frequently want to stop and admire the beauty of the game's world.

The story of Senua II is relatively short but very engaging, taking about 9-10 hours to complete. Despite its brevity, it's a quality experience that leaves a lasting impression. Each character in the game is memorable, adding depth to the narrative. While the game is quite linear with limited exploration, it's perfect for a weekend playthrough, offering an experience you'll remember long after finishing it.

Ninja Theory has truly outdone themselves with this installment. I was never a diehard Senua fan before, but this game has made me one. I eagerly anticipate what they will bring in the future. The combat in Senua II is unique, simple, and challenging at the same time, making for an enjoyable experience.

Some may perceive Senua II as a ""walking simulator,"" but it's essential to appreciate all the elements it offers. I never understood why this game received criticism at its release; it's a game-of-the-year-worthy title in my eyes. Everyone should try it, as it makes Game Pass even more worth the cost.","19 people found this helpful."
"Zohair Ahmed","8 months ago","**Hellblade: Senua's Saga - A Brief Review**

""Hellblade: Senua's Saga"" is an absolute cinematic masterpiece, offering a rich, immersive experience underscored by high-quality soundtracks. Developed by Ninja Theory, known for their innovative approach to storytelling and game design, the game provides a short but impactful journey, averaging 6-7 hours depending on your play style.

The developers have outdone themselves in crafting a visually stunning world, utilizing the power of Unreal Engine 5 to deliver detailed environments and realistic character models. The sound design is equally impressive, with a soundtrack that enhances the emotional depth of the narrative.

The pace is relatively slow, focusing more on puzzle-solving, walking, story building and cutscenes with occasional combat. While it may not suit the tastes of those who prefer quick-paced hack and slash gameplay like myself, the compelling story kept me thoroughly engaged.

P.S: Those who haven't played the first game needn't worry as there are ample of moments in this game which give you a rundown of what happened earlier

**Review: 7.5/10**","10 people found this helpful."
"Kibra Devine","10 months ago","The audio and visuals work together so well to create a masterpiece of storytelling. This game truly takes everything from the first game and brings it up a notch. You can tell they spent a lot of their effort on making sure the player feels immersed in audio and visuals with incredibly seamless transitions between gameplay and cutscenes (that I have never seen done this well).

Senua's psychosis plays a huge role in this game (just like the first) with the return of the conflicting voices in her head that offer aid one minute and doubt the next, adding to Senua's struggle of ups and downs as well as the overall tone of the game.

The combat was similar to the first game but the seemless transitions between killing enemies, the stunning finishers, and the next level audio immersion are really what make the combat special.

They truly took the visual gameplay mechanics to the next level with this one. If you liked Hellblade 1 then you will definitely LOVE this one.","45 people found this helpful."
"Jayesh Sinha","10 months ago","Absolute cinematic experience and a visual showcase of technical prowess gaming industry has achieved! 
Aside from a very short length story, all other things were great.

Puzzles were quite easy but tbf I'd rather have an easy puzzle to solve and move along the story than a difficult one and roaming around looking for cues, that would break me out of the cinematic experience if overused.

Combat was ever so slightly refreshing with different finishers and parry timings varied with different enemies but I kind of have a love hate opinion on the 1 on 1 fight style this time but it does give a more cinematics of an experience.

I needed more of this game although one criticism is that this time around the voices are meaningless even though it's a major part of ""psychosis"" experience but 1st game did it better with varied thoughts and opinions and self doubt.

In this game it was implemented differently more like the voices were trying to state the obvious and hand holding the player

Overall 9/10 game and must play experience.","19 people found this helpful."
"Sohan Dhanushka Gunarathne","10 months ago","Senua’s Saga: Hellblade II is a deep, immersive and emotional journey that transcends your everyday video game. Just like the original, It’s an audiovisual sensory experience that captivates the player simply by its amazing (un)real time graphics, binaural audio, and most importantly through its extremely powerful narrative. 

Although the combat mechanics have simplified to 1v1s, it's way more brutal, calculated and unforgiving compared to the original game. And every combat encounter will definitely keep you at the edge of your seat.

The narrative experience is continuation but expanded upon the original and ultimately teaches you to forgive, make peace with your past and move forward by accepting yourself wholeheartedly. A true masterpiece. 10/10","20 people found this helpful."
"Jeremy Thibaut","10 months ago","So far, the extreme detail that comes into this game is PEAK.   The photo mode makes it even so much better to be able to admire the amazing graphics and surroundings.  (Make sure to take away the HUD bar or else it’ll be in your screenshots.)

As far as the game play and combat, it is PEAK.   Definitely just like the first one combat style but the massive improvement (I didn’t even know it was possible) from the 1st game has me shook.  

I am not done with the game yet as I’m writing this, BUT let me just say I’m already hooked and will play this game more than once!   The story, graphics, voice actors, surrounding sounds, everything and I mean EVERYTHING about this game is a literal masterpiece already! 

Don’t listen to the complainers, I’ve waited so long for this game and I’m loving tf out of it!","41 people found this helpful."
"Hisham Atieh","9 months ago","A  cinematic masterpiece. This is a very unique game with a story that is told creatively. It is a 9/10 for me.

The visuals are absolutely stunning with Unreal Engine 5 on PC. The music and audio effects are fantastic as well.

With headphones on, I felt that I was in Senua's mind, hearing her thoughts constantly.

Some reviewers mentioned that they hated ""walking too much"".
I somewhat agree with this, especially in puzzles where sprinting is not an option, but it wasn't a big issue for me at all.

Also, others might not like this cinematic way of gameplay but I think that it has a different and unique way of gameplay and fighting than the games we usually know. I LOVED it, the animations and scenes made me feel like a badass Viking in a movie. Besides, I always love games that provide excellent cinematics, which is not for everyone I guess.

A must play !","2 people found this helpful."
"Eric Collard","7 months ago","Born in 1988, Zelda: A Link to the Past has always been my #1 favorite game, with other Zelda's, Final Fantasies, etc. sprinkled in there. But Hellblade 2 has finally dethroned Z:ALTTP.

I do get why most people are turned off from this game, but I feel like they are missing the point... The game(s) are 90% about the psychosis part, the rest is story and gameplay. And as someone with mental issues, having a game like this make me feel noticed, included, and appreciates. Having a woman as the main character is great, too, because the don't often get that. So I'm doubly impressed.

I love these games. The fact that a game developer made such high-quality games about a mental illness blows my mind, and I just can't get over it. I am so emotional about these games, and I feel like anyone who legitimately has any form of psychosis would be appreciative of them. They're true art.","1 person found this helpful."
"Christopher Lopez","9 months ago","Is is an absolute cinematic experience. Visually as great as games look since the PS4 generation, nothing comes close to this in terms of in game photo realism. This is the first game that truly replicates the matrix awakens demo from a few years ago. As for gameplay anyone that played the first game knows this is not a typical game. And some or even many people might be turned off by that but I very much enjoyed how different it is than everything else. No hunting down numerous items, chest, tons of filler side quests, upgrading weapons and armor. While that stuff is obviously fun on many different levels, this game has none of that which is a big positive. You have one sword and when you get to use it in battle it truly is intense. But because it's so different it's hard to recommend it to everyone. I very much enjoyed it and in my opinion it's definitely game of the year material.","3 people found this helpful."
"Nicole G","10 months ago","All the people complaining about a “walking simulator” clearly didn’t play the first game or don’t understand what this game is supposed to be. I think having hellblade 1 as the bar here really hurts- if this was the first installment it wouldn’t have the criticism that it does, because the first game is very hard to surpass. What hellblade 2 DOES do, is take the cinematic experience from the first game and expand upon it. Visuals aside (because no one can disagree that they’re incredible), the combat experience in hellblade 2 is something else. Sure, you’re not fighting 5 dudes in deer masks at once, but every single fight in hellblade 2 feels like this could be the end of your journey. You have random NPCs inserting themselves and breaking up the combo you thought you were about to do, enemies will punch you and disengage to axe somebody else mid-battle. It feels way more “real” compared to the first game- chaotic and heavy and frantic, like a real fight of these sorts would play out. The only reason this game isn’t getting a 10/10 is because it has to live up to the first one, which is near impossible. If you enjoyed the first Hellblade you will definitely enjoy this one, don’t let the negative reviews sway you.","8 people found this helpful."
