"YQ4gaf src","FmcO7b","vWB2ve","T7nuU 2","WHxBId","gjvCCd"
"https://lh3.googleusercontent.com/a-/ALV-UjUWx5U8uEzesY3BoyGOTTznPFbpRTbOPoRVX8oUcsWXZ_ZrGYY=s128-w32-d-h32-cc-rp","Arun Katyal (Yodha)","6 months ago","Astro Bot is a huge phenomenon right now, consistently getting near-perfect scores from nearly every major gaming outlet. It's hard to find any review scoring it below a nine, with most giving it a solid 10. And it’s not just critics – almost everyone I know who's played Astro Bot is raving about it, claiming it should be a clear frontrunner for Game of the Year. I recently finished it, and naturally, I started to wonder – does Astro Bot truly live up to all the hype?

Honestly, yes! From the first trailer, I was hooked. It looked like a classic, fun platformer – simple, creative, colorful, and full of charm. And after playing it, I can confirm that it matched my expectations. It’s pure fun, through and through.

One common criticism I’ve seen is that Astro Bot is essentially a glorified ad for PlayStation, and yeah, that’s true. But it’s still an incredibly enjoyable game. It’s like a nostalgic trip down memory lane, filled with references and cameos from PlayStation classics like Ape Escape and Jak and Daxter. Even though Sony hasn’t done much with these franchises in recent years, Astro Bot reminds us just how great these old games were. You even find nods to other titles like Bloodborne, which adds a fresh twist to the experience.

Astro Bot’s levels are highly creative, offering power-ups that enhance gameplay beyond the usual punch and jump mechanics. You can pick up cool gadgets like frog boots that let you shoot explosives or a time-stopping watch for solving puzzles. The boss fights are fun, the secret and challenge levels add more depth, and overall, it’s a simple yet engaging experience. It only took me about seven hours to finish the main story, though if you're aiming for 100% completion, you’ll likely spend closer to 10-12 hours.

I genuinely can’t think of anything the game does poorly. The controls are tight, the visuals are fantastic, and the physics are impressive. Each level feels distinct, filled with creativity and style. If I had to nitpick, the game might feel too short for some, but I personally think it’s the perfect length.

While I do believe Astro Bot is a strong contender for Game of the Year, I don’t think it’s a guaranteed win. It’s been an incredible year for games. For me, Astro Bot ranks in my top three, just behind Black Myth: Wukong and Space Marine 2. But it’s still a game that almost anyone can pick up and enjoy, regardless of their gaming background.

Now, if you’re someone who prefers more narrative-heavy or action-packed games, Astro Bot might not be your cup of tea. But if you enjoy puzzle-solving and platforming, you’ll likely find it objectively great. The music, especially in the boss levels, is phenomenal – some of the tracks are just fantastic.

In short, Astro Bot is absolutely worth buying. However, I wouldn’t recommend buying a PlayStation 5 just to play it. It’s a must-have if you already own the console, but it’s not the kind of game that will make you rush out and spend a ton of money just to experience it. Nonetheless, for those who do have a PS5, this is a must-own title that will bring you plenty of joy during its 10-12 hours of gameplay.","You and 70 other people found this helpful.","70 people found this helpful."
"https://lh3.googleusercontent.com/a-/ALV-UjW13dlzEN5tAxPtlWfdkSuIHh2a8CrfiHqeY3RefoBJengEj9A=s128-w32-d-h32-cc-rp","Another Gaming Channel","6 months ago","Tl;dr: great game. Highly reccomend. This game makes me feel like that kid opening up his first ps1 on Christmas and popping in crash bandicoot for the first time all over again!

I never leave reviews on here, but Holy smokes is this game awesome! I'm someone who never buys games brand new. Typically most modern games are buggy when they release and it's usually better for me personally to wait until they go on sale later on and have had majority of the bugs patched by that point instead of paying full price for a broken game. This is the 1st game I've pre ordered, let alone bought brand new in years (I honestly think the last game I pre ordered was black ops 2 lol). After playing the astro game that came with the ps5, I knew this was going to be great because that last game was an amazing experience, and boy, this one did not disappoint! Amazing soundtrack, amazing attention to detail, pretty much every single thing in the game can be interacted with, and I still have not encountered 1 bug. Plus, it's just all-around fun, enjoyable game play. This is modern gaming done right, which is what led me to support it by pre-ordering it. We need to show these game developers what kind of expectations we want our games to live up to by showing them with our wallets. This developer gave us an amazing game for $60 instead of $70 (unless you got the digital deluxe version like myself, which is then only $70 and you get the soundtrack, an avatar pack, and special skins), no paying extra for dlc, everything included woth your initial purchase (at least as of now), and took their time to ensure we would have a good experience without having a buggy mess of a game upon release. This is a team that actually cared about its fan base and it shows. Kudos to the development team that worked on this. Chefs kiss 👨‍🍳🤌","You and 121 other people found this helpful.","121 people found this helpful."
"https://lh3.googleusercontent.com/a-/ALV-UjUdMsepbPb9E3j51yJdq9e-lK4yAL7nE7sagaPAiawdKtku63_t=s128-w32-d-h32-cc-rp","LBenn302","6 months ago","Wow. What a game.. I feel like this game is a mixture of young and old, innovative yet nostalgic, and overall a delight to play. I cant seem to stop playing it, actually. I'll put it down and do something around the house, and feel the need to want to collect more bots, and grab my PS5 components to get my little guys back home! 

The nostalgia you feel is surreal- taking you back  in time to when you were a kid during Christmas with your PS1 and Crash Bandicoot. There's a seriously special feeling each time I discover a new and unique ""Bot"" to add to my collection. The worlds are designed around the main character Bots and it feels like its own unique game in each world. 

I seriously doubt there will be another game that tops this for the remainder of the year. With the soundtrack, the diversity, the uniqueness and overall tone of the game- it's its own behemoth cemented in the platforming genre that is now entirely unrivaled. I couldn't think of a better way to spend $69.99 (I got the Deluxe Edition because I'm a huge fan of the souls games and wanted the Bloodborne outfit and avatar)

If your kids are looking for a game for the holiday season this year, highly recommend picking up Astro Bot for them. If you're an OG PlayStation gamer like myself, do yourself a favor, and pick it up. You will most certainly not be disappointed. I also highly recommend you play it on an OLED TV/Monitor, the colors pop on my Alienware AW2725DF.

Bravo, Sony. After a catastrophic failure that was ""Concord"", you really made up for it here with Astro Bot.","You and 40 other people found this helpful.","40 people found this helpful."
"https://lh3.googleusercontent.com/a-/ALV-UjVwPyN3yzZnl541znFUZI6GYha69mNg9fIpON8DSnJKBPGy47w=s128-w32-d-h32-cc-rp","Ember (Em)","6 months ago","I couldn't be happier with Astro Bot. I've played Astro's Playroom, and if you have aswell you'll know how good the graphics are and how amazing it feels. Well I have news: Astro Bot is 10 times better. 
The unlimited creativity brings the charactars to life. There is no diologue, but you know exactly what each individual charactar is thinking. The relationship between Astro and the CPU is both hilarious and sweet, and his strong relationships with the other bots, as you will see at the end of the game. 

Astro bot is a masterpeice, up there in the top 5. It is clear that the developers had the playere best interest at heart, as you will see throughout the game. For example, when you collect the ship parts, the GPU, Memory, Cooling fan and SSD all sing together. There's a little place for astro to stand where it focuses the camera on the adorable proformance and even after you cover them over with the white coverings they fold away when nearby so you can still listen. 
The bots have super cute animation and personalities, finding them all is no simple task. Some puzzles are very difficult to solve, but NEVER difficult in an annoying way. I was engaged during every step of Astro's journy. 

Boss fights were INCREDIBLE. 2 had MIND BLOWING ends, which often involves some overwhealmingly huge obsticle or just really good animation that will make you go, 'WOW!' The bosses often take afew attempts but they're really creative and learning how to expose the boss's weak points are an engaging way to spend replays. 

FROM HERE, MAJOR SPOILERS

The alien boss at the end was probably the best. Spinning the wheel to pick your chosen abilities was an absoloutley amazing idea, this means the boss can be played in more than one way. It's so emotional at the end (TURN BACK, MAJOR SPOILER! IT'S RIGHT AHEAD! BE CAREFUL!)
When the alien grabs astro and tries to drag him down... Masterful. I appreciated the fact that a normal bot grabbed his hand and that showed how brave and amazing the 'common bots' are. Astro seeing them all struggling to help him... Then letting go of them and allowing himself to be taken away and killed... I have never felt so much for a fictional robot. It was also so adorable how the CPU was giggling at astro as he set her free, and at the end when he needed a heart. The bots turning to her, cheering at her to give him the heart, was just so funny. 

Thanks for reading, hope this was helpful. Look, I know the game is expensive, but just trust me on this one and give it a try.","You and 13 other people found this helpful.","13 people found this helpful."
"https://lh3.googleusercontent.com/a-/ALV-UjUtQXcsWcaSkqkp5FtJMuw5PFIFHSohOONU_Z0YpHLMK4Qyh40=s128-w32-d-h32-cc-rp","Blerd Static","6 months ago","WARNING! This game is highly addictive and fun...I thought I would only play an hour, and I put in 8 hours instead. 

I bought this because I was feeling down and wanted to play something light hearted. I got so much more. This is the best game I've played all year. The level design is phenomenal. The sound and hardware design with the controller is spectacular. The graphics are truly beautiful and next gen. The cinematics of the PlayStation are a bit extra in the beginning, but after that this game has so many awesome and original gameplay mechanics. This game feels like the golden years of platform gaming and honestly stands up against my favorite platformers from Nintendo and Sega. 

Not only that there are some really cool redirects given to ask the major exclusive PlayStation games over the last 30 years. You even get to play as some of them on specific levels. My favorite so far being God of War. 

Even the home world that filled with bots is enthralling because of the easy you can interact with them in a meaningful way that honors a specific character's legacy. 

Don't waste money on any other game this month. Let astrobot take you to the stars and back to being a kid again!","You and 6 other people found this helpful.","6 people found this helpful."
"https://lh3.googleusercontent.com/a-/ALV-UjWK5h-cexUPQ9gPvPCDYk_VlZ70r65wevzqyHvx87PGmpXXYwnm=s128-w32-d-h32-cc-rp","J Smudger","6 months ago","Astro Bot is an absolute joy from start to finish. The gameplay mechanics are incredibly tight, making every moment feel precise and satisfying. The game fully utilizes the PS4 controller in clever ways, accompanied by great music and a simple yet engaging narrative that kept me glued to the screen.

I completed the game and earned the Platinum Trophy in 23 hours, and honestly, I was left wanting more. I’m eagerly hoping for some DLC!

Other highlights include near-instantaneous load times, impressive attention to detail, and a highly addictive gameplay loop of rescuing lost bots, hunting down puzzle pieces, discovering secret areas, and unlocking new looks for both Astro and the controller. It’s a truly delightful experience all around.

And fit for all ages.","You and 3 other people found this helpful.","3 people found this helpful."
"https://lh3.googleusercontent.com/a-/ALV-UjXR03utY-dyEgci9dxx2NDhTgwz0VnNbIc0sRx9H6eCaWY-reMc=s128-w32-d-h32-cc-rp","Jayden Ordner","6 months ago","This game is highly polished, extremely fluid and incredibly nostalgic. The throwbacks to platformer games such as Banjo Kazooie to me are palpable in the design and sense of discovery within this game. It's a game that just feels so cool to be in, each world has such a cool sense of discovery and nostalgia to it - supported so well by a really great soundtrack, inlcuding numerous songs that have been stuck in my head for multiple days now. I genuinely wouldn't want to miss a gem like this. I feel like it would be really difficult to not enjoy this game! I sincerely hope to see more of these games in the future, the level design and consistent demonstration of creativity on display is fantastic. It's such a rewarding game to take a break from heavier more demanding titles with something so warm and fuzzy, but, compelling as a sound video game.","You and 4 other people found this helpful.","4 people found this helpful."
"https://lh3.googleusercontent.com/a-/ALV-UjWTwAZmYjITmz5QGiAMyP0TKxHCF_lGpXdV9llh5MNaCKH0liSd=s128-w32-d-h32-cc-rp","Ben Walker","2 months ago","🎵 I AM ASTRO BOT. AS-TRO. BOT. 🎵

Our unfortunate titular Astro Bot gets his PS5 ship wrecked by a space bully alien during a journey, leaving all the parts (and Astro Bot's little friends) scattered throughout the small cosmos covered by the game. Astro Bot must now set upon journey to recover all the PS5 components and rescue the Bots trapped across a myriad of planets.

My first impression with Astro Bot is that it actually made me feel young again, because this game's levels of cuteness rival those of Kirby's (even if this game's more Mario-ish), especially with the PS5 controller making noises to accompany what goes on close-up.

You have your simple 3D Platforming traits, those being the gameplay and stylistic visuals, thrown into this game, making the family-friendly nature all the more fitting. Some worlds, which vary in nature, will give you bonus abilities which you can take advantage of so as to not make the simplistic gameplay feel way too tired. The boss fights are pretty cool here too, and you get three chances on the same run before you have to restart the fight.

This adventure is the cutest way to celebrate a PlayStation milestone out there (that case being 30 years of the console brand), with some of the bots you rescue resembling PlayStation characters (Whether first-party or made famous on the console) adding to the PlayStation-y aesthetic of this incredible game that every PS5 owner should buy.

Game of the Year, well-deserved.

Astro Bot gets an S.","You and 3 other people found this helpful.","3 people found this helpful."
"https://lh3.googleusercontent.com/a-/ALV-UjUwAGseEMkQ-rw8Ci7ARqFXyR_fvlYovISs16B5IS13KwPox-bq=s128-w32-d-h32-cc-rp","Alyx","6 months ago","astro bot is a fantastic breath of fresh air that celebrates playstation’s 30 years of history and it’s filled with amazing music, creative level themes and just overall charm im on world 3 and there’s only two issues i have. one being the costume system cause you can’t play as some as the vip bots like nathan drake, joel, kratos,ect which is a damn shame seriously hope they patch that out and dying in one hit sucks too other than those two things it’s a great game 95/100. it is a must play for ps5 owners and people who love platformers all those positive reviews are 100% justified well done to the guys at team asobi have outdone themselves yet again and i hope to see them thrive even more.","You and 41 other people found this helpful.","41 people found this helpful."
"https://lh3.googleusercontent.com/a/ACg8ocLOTzX8iaER8QtJqVxaotz2q9lmhugHp01mqvTFBAm5hUZe9g=s128-w32-d-h32-cc-rp","Michael Mader","6 months ago","Astro Bot is incredible. Astro’s Playroom was awesome, and this is that on steroids. It’s the Playstaion’s Super Mario Galaxy. This is one of those games that I’m happy to pay full price for. It’s $60 and not 70 which is another W. As gamers, we need to support these kinds of games. This is a fun, complete experience that doesn’t waste your time and money. No microtransactions, no season pass or battle pass, no roadmap, there’s a deluxe upgrade but no gold, ultimate, complete, collector’s edition nonsense, and no need for a hundred patches and updates because the game works on day 1. 

And on top of all that, the game is just a good time to play, straight up. Just pick up the controller and go, nice and simple. It's all about fun, which is what gaming should be.  

If you're as tired of money-eating gaming trends as I am, buy Astro Bot. Vote with your wallet. Please enjoy this wonderful game, which has had so much love and passion put into it. It's an obvious must-play if you're a Playstation fan, a platformer fan, or if you just wanna have fun. As someone who's played most of the games that are honored in Astro Bot, I feel like it was made just for me. It's a love letter to the last 30 years of Playstation excellence. I highly recommend it.","You and 46 other people found this helpful.","46 people found this helpful."
